choline,9606.ensp00000303211
choline,9606.ensp00000264381
choline,9606.ensp00000407546
choline,9606.ensp00000355920
choline,9606.ensp00000355930
choline,9606.ensp00000275300
choline,9606.ensp00000245407
choline,9606.ensp00000200652
methionine,9606.ensp00000355536
methionine,9606.ensp00000325312
methionine,9606.ensp00000365777
methionine,9606.ensp00000307900
methionine,9606.ensp00000357844
pravastatin,9606.ensp00000287936
pravastatin,9606.ensp00000360317
pravastatin,9606.ensp00000256958
pravastatin,9606.ensp00000289575
pravastatin,9606.ensp00000478255
pravastatin,9606.ensp00000305974
pravastatin,9606.ensp00000367102
pravastatin,9606.ensp00000337335
pravastatin,9606.ensp00000359478
pravastatin,9606.ensp00000301891
pravastatin,9606.ensp00000237612
pravastatin,9606.ensp00000361666
pravastatin,9606.ensp00000441065
pravastatin,9606.ensp00000263817
pravastatin,9606.ensp00000261196
fluvoxamine,9606.ensp00000261707
fluvoxamine,9606.ensp00000262186
fluvoxamine,9606.ensp00000353820
fluvoxamine,9606.ensp00000342007
fluvoxamine,9606.ensp00000440689
fluvoxamine,9606.ensp00000369050
fluvoxamine,9606.ensp00000337915
fluvoxamine,9606.ensp00000222982
fluvoxamine,9606.ensp00000480571
fluvoxamine,9606.ensp00000260682
fluvoxamine,9606.ensp00000360372
fluvoxamine,9606.ensp00000324648
fluvoxamine,9606.ensp00000360317
fluvoxamine,9606.ensp00000478255
fluvoxamine,9606.ensp00000263817
amphetamine,9606.ensp00000298472
amphetamine,9606.ensp00000270349
amphetamine,9606.ensp00000219833
amphetamine,9606.ensp00000368766
amphetamine,9606.ensp00000306662
amphetamine,9606.ensp00000280155
amphetamine,9606.ensp00000480573
amphetamine,9606.ensp00000386069
amphetamine,9606.ensp00000358301
amphetamine,9606.ensp00000305372
amphetamine,9606.ensp00000343782
amphetamine,9606.ensp00000354859
amphetamine,9606.ensp00000367309
amphetamine,9606.ensp00000261707
amphetamine,9606.ensp00000340684
amphetamine,9606.ensp00000353820
amphetamine,9606.ensp00000301141
