9606.ensp00000323929,colonic neoplasms
9606.ensp00000402373,colonic neoplasms
9606.ensp00000363512,colonic neoplasms
9606.ensp00000234071,colonic neoplasms
9606.ensp00000301633,colonic neoplasms
9606.ensp00000345728,colonic neoplasms
9606.ensp00000293288,colonic neoplasms
9606.ensp00000227507,colonic neoplasms
9606.ensp00000381185,colonic neoplasms
9606.ensp00000349320,colonic neoplasms
9606.ensp00000261254,colonic neoplasms
9606.ensp00000353864,colonic neoplasms
9606.ensp00000264613,colonic neoplasms
9606.ensp00000433560,colonic neoplasms
9606.ensp00000344456,colonic neoplasms
9606.ensp00000352516,colonic neoplasms
9606.ensp00000359211,colonic neoplasms
9606.ensp00000379038,colonic neoplasms
9606.ensp00000275493,colonic neoplasms
9606.ensp00000269571,colonic neoplasms
9606.ensp00000356771,colonic neoplasms
9606.ensp00000377284,colonic neoplasms
9606.ensp00000331358,colonic neoplasms
9606.ensp00000387662,colonic neoplasms
9606.ensp00000232424,colonic neoplasms
9606.ensp00000248553,colonic neoplasms
9606.ensp00000264832,colonic neoplasms
9606.ensp00000363689,colonic neoplasms
9606.ensp00000229135,colonic neoplasms
9606.ensp00000391826,colonic neoplasms
9606.ensp00000263341,colonic neoplasms
9606.ensp00000259206,colonic neoplasms
9606.ensp00000305651,colonic neoplasms
9606.ensp00000360266,colonic neoplasms
9606.ensp00000262186,colonic neoplasms
9606.ensp00000256078,colonic neoplasms
9606.ensp00000312652,colonic neoplasms
9606.ensp00000309757,colonic neoplasms
9606.ensp00000231751,colonic neoplasms
9606.ensp00000367309,colonic neoplasms
9606.ensp00000357643,colonic neoplasms
9606.ensp00000231790,colonic neoplasms
9606.ensp00000361405,colonic neoplasms
9606.ensp00000365777,colonic neoplasms
9606.ensp00000361170,colonic neoplasms
9606.ensp00000479618,colonic neoplasms
9606.ensp00000226574,colonic neoplasms
9606.ensp00000327251,colonic neoplasms
9606.ensp00000277541,colonic neoplasms
9606.ensp00000217386,colonic neoplasms
9606.ensp00000355865,colonic neoplasms
